title,doi,year,Repository,TAGSUSPECTS_VALUE_TRUE,LANG_MISSING_IN_CATALOG,PDF_UA_IDENTIFIER_MISSING,INVALID_HEADING_ORDER,METADATA_MISSING_TITLE,CONTENT_NOT_MARKED,FIGURE_ALT_TEXT_MISSING,TABLE_HEADER_MISSING,FORMULA_ALT_TEXT_MISSING,File_Score,,
"Characterizing HCI Research in China: Streams, Methodologies and Future Directions",1903.08915v2,2019,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
The Review and Analysis of Human Computer Interaction (HCI) Principles,0707.3638v1,2007,arXiv,1,1,1,0,1,1,0,0,0,0.42,,0.461333333
"HCI Papers Cite HCI Papers, Increasingly So",2303.07539v1,2023,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
Interaction in Metaverse: A Survey,2310.13699v1,2023,arXiv,1,0,1,0,0,0,1,1,0,0.56,,
HCI in e-Government and e-Democracy,2310.10988v2,2023,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
Exploring the Referral and Usage of Science Fiction in HCI Literature,1803.08395v2,2018,arXiv,1,0,1,0,1,0,1,0,0,0.54,,
Re-Imagining HCI: New Materialist Philosophy and Figurations as Tool for Design,2003.02312v1,2020,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
Using ChatGPT in HCI Research -- A Trioethnography,2309.12583v1,2023,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
Transitioning to human interaction with AI systems: New challenges and opportunities for HCI professionals to enable human-centered AI,2105.05424v4,2021,arXiv,1,0,1,0,1,0,0,1,0,0.54,,
Building an Argument for the Use of Science Fiction in HCI Education,1811.01033v1,2018,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
Is Physics Sick? [In Praise of Classical Physics],1209.0592v1,2012,arXiv,1,1,1,0,0,1,0,0,0,0.54,,
Modern Mathematical Physics: what it should be?,0002018v2,2000,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
Topology in Physics,0503039v1,2005,arXiv,1,1,1,0,0,1,0,0,0,0.54,,
Contents of Physics Related E-Print Archives,0308107v1,2003,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
Fundamental Dilemmas in Theoretical Physics,1405.5530v1,2014,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
The Quest for Understanding in Relativistic Quantum Physics,9910243v2,1999,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
Physical structures. Forming physical fields and manifolds. (Properties of skew-symmetric differential forms),0404046v1,2004,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
Quantum gloves: Physics and Information,0408095v1,2004,PubMed,1,1,1,0,0,1,0,0,0,0.54,,
B Physics (Experiment),1008.0247v2,2010,PubMed,1,1,1,0,0,1,0,0,0,0.54,,0.496470588
"Space, matter and topology",1607.00666v1,2016,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
Can classical physics agree with quantum physics on quantum phenomena?,1504.03207v1,2015,PubMed,1,1,1,0,0,1,0,0,0,0.54,,
Methods for Analyzing Pathways through a Physics Major,1606.07170v1,2016,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
Topologization of electron liquids with Chern-Simons theory and quantum computation,0601285v1,2006,PubMed,1,0,1,0,1,0,0,0,0,0.64,,
The Physics of Flavor is the Flavor of Physics,0111051v1,2001,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
On accessibility of finitely generated groups,0702185v1,2007,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
Colimits of accessible categories,1110.0767v1,2011,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
Tight Data Access Bounds for Private Top-$k$ Selection,2301.13347v2,2023,PubMed,0,0,0,0,0,0,0,0,0,1,,
"Dynamic Spectrum Access: Signal Processing, Networking, and Regulatory Policy",0609149v1,2006,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
On the Capacity Region of Multiple Access Channel,1605.03096v1,2016,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
Remarks on combinatorial and accessible model categories,2006.03251v1,2020,PubMed,1,0,1,0,1,0,1,1,0,0.44,,
Accessibility in Software Practice: A Practitioner's Perspective,2103.08778v1,2021,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
A Survey of Access Control Misconfiguration Detection Techniques,2304.07704v1,2023,PubMed,1,1,1,0,0,1,0,0,0,0.54,,
An Insider Threat Mitigation Framework Using Attribute Based Access Control,2305.19477v1,2023,BioRiv,1,1,1,0,0,1,0,0,0,0.54,,
Inward and Outward Node Accessibility in Complex Networks as Revealed by Non-Linear Dynamics,0801.1982v1,2008,BioRiv,1,0,1,0,1,0,1,0,0,0.54,,
Implications for Improving Accessibility to E-Commerce Websites in Developing Countries: A Subjective Study of Sri Lankan Hotel Websites,1302.5198v1,2013,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,
Access Structures Determined by Uniform Polymatroids,2005.04509v2,2020,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,
Massive Access for Future Wireless Communication Systems,1910.12678v5,2019,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,
AKER: A Design and Verification Framework for Safe andSecure SoC Access Control,2106.13263v1,2021,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,0.44
HUAP: Practical Attribute-based Access Control Supporting Hidden Updatable Access Policies for Resource-Constrained Devices,2107.10133v1,2021,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,
Characterizing Equitable Access to Grocery Stores During Disasters Using Location-based Data,2201.00745v3,2022,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,
Role-Based Access Controls,0903.2171v2,2009,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,
Carrier Sense Multiple Access Tuning Parameters using Game Theory,1210.2911v1,2012,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,
Understanding the Benefits of Open Access in Femtocell Networks: Stochastic Geometric Analysis in the Uplink,1308.2454v1,2013,BioRiv,1,0,1,0,1,1,0,0,0,0.54,,
On the Stability of Random Multiple Access with Feedback Exploitation and Queue Priority,1401.1513v1,2014,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,
Accessible Coherence and Coherence Distribution,1704.07958v1,2017,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,
Delta-OMA (D-OMA): A New Method for Massive Multiple Access in 6G,1901.07100v1,2019,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,
Increasing broadband reach withHybrid Access Networks,1907.04570v1,2019,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,
Blockchain based access control systems: State of the art and challenges,1908.08503v1,2019,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,
Graph Model Implementation of Attribute-Based Access Control Policies,1909.09904v1,2019,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,
Catching Unusual Traffic Behavior using TF-IDF-based Port Access Statistics Analysis,2111.06080v1,2021,BioRiv,1,1,1,0,1,1,0,0,0,0.42,,
Can Authoritative Governments Abuse the Right to Access?,2203.02068v1,2022,MedRxiv,1,1,1,0,1,1,0,0,0,0.42,,
Open Access: Who are the Ghost Readers?,2307.04731v1,2023,MedRxiv,1,1,1,0,1,1,0,0,0,0.42,,
Accessible Information and Quantum operations,0303117v1,2003,MedRxiv,1,1,1,0,1,1,0,0,0,0.42,,
"Open, Closed, and Shared Access Femtocells in the Downlink",1009.3522v1,2010,MedRxiv,1,1,1,0,1,1,0,0,0,0.42,,
Characterization of Request Sequences for List Accessing Problem and New Theoretical Results for MTF Algorithm,1109.2231v1,2011,MedRxiv,1,0,1,0,1,0,1,1,0,0.44,,
Accessible model categories,1503.05010v2,2015,MedRxiv,1,1,1,0,1,1,0,0,0,0.42,,
LTE/LTE-A Random Access for Massive Machine-Type Communications in Smart Cities,1608.03042v1,2016,MedRxiv,1,1,1,0,1,1,0,0,0,0.42,,
Traffic Prediction and Random Access Control Optimization: Learning and Non-learning based Approaches,2002.07759v1,2020,MedRxiv,1,1,1,0,1,1,0,0,0,0.42,,
Analyzing Grant-Free Access for URLLC Service,2002.07842v2,2020,MedRxiv,1,1,1,0,1,1,0,0,0,0.42,,
